rank	player_name	team	points	gp	avg_points
78	Albert Okwuegbunam	DEN	5.0	4	1.3
79	Mitchell Wilcox	CIN	4.7	5	0.9
79	Quintin Morris	BUF	4.7	5	0.9
81	Stephen Sullivan	CAR	4.6	4	1.2
82	Trevon Wesco	CHI	4.3	3	1.4
83	Grant Calcaterra	PHI	4.0	1	4.0
84	Anthony Firkser	ATL	3.9	3	1.3
85	Jack Stoll	PHI	3.8	4	1.0
86	Eric Tomlinson	DEN	3.7	5	0.7
87	Kendall Blanton	LAR	3.5	2	1.8
88	Brevin Jordan	HOU	3.2	5	0.6
89	Tre' McKitty	LAC	2.8	6	0.5
90	Tyler Davis	GB	2.6	6	0.4
90	Luke Farrell	JAC	2.6	2	1.3
90	Ben Ellefson	MIN	2.6	2	1.3
93	Ryan Griffin	CHI	2.4	5	0.5
94	Trey McBride	ARI	2.4	4	0.6
95	Cole Turner	WAS	2.3	3	0.8
96	Chris Manhertz	JAC	2.1	6	0.4
97	Kyle Rudolph	TB	2.0	4	0.5
98	Jesper Horsted	LV	1.9	3	0.6
99	Tyler Kroft	SF	1.5	2	0.8
100	Nick Vannett	NO	1.3	2	0.7
101	Sean McKeon	DAL	1.0	1	1.0
102	Tommy Sweeney	BUF	0.7	1	0.7
103	Mason Schreck	HOU	0.6	2	0.3
104	Stephen Anderson	ARI	0.2	5	0.0
105	Brycen Hopkins	LAR	0.0	1	0.0
105	Kenny Yeboah	NYJ	0.0	1	0.0
105	Jared Pinkney	LAR	0.0	1	0.0
105	James Winchester	KC	0.0	2	0.0
105	Jeremy Ruckert	NYJ	0.0	1	0.0
105	Jake Tonges	CHI	0.0	1	0.0
105	Jacob Harris	LAR	0.0	1	0.0
105	Richard Rodgers	LAC	0.0	2	0.0
105	Kevin Rader	TEN	0.0	2	0.0
105	Noah Togiai	PHI	0.0	1	0.0
105	Hunter Long	MIA	0.0	3	0.0
105	Charlie Woerner	SF	0.0	3	0.0
105	Devin Asiasi	CIN	0.0	3	0.0
105	Miller Forristall	CLE	0.0	1	0.0
105	J.P. Holtz	NO	0.0	1	0.0
105	Austin Allen	FA	0.0	2	0.0
121	Drew Sample	CIN	-0.2	2	-0.1
1	Derrick Henry	TEN	155.0	8	19.4
2	Nick Chubb	CLE	153.1	8	19.1
3	Austin Ekeler	LAC	138.8	8	17.4
4	Joe Mixon	CIN	133.7	9	14.9
5	Saquon Barkley	NYG	128.8	8	16.1
6	Josh Jacobs	LV	127.5	8	15.9
7	Christian McCaffrey	Multi	123.5	8	15.4
8	Rhamondre Stevenson	NE	114.5	9	12.7
9	Travis Etienne Jr.	JAC	109.4	9	12.2
10	Jamaal Williams	DET	108.2	8	13.5
11	Dalvin Cook	MIN	106.7	8	13.3
12	Miles Sanders	PHI	105.8	8	13.2
13	Kenneth Walker III	SEA	103.8	8	13.0
14	Aaron Jones	GB	103.0	9	11.4
15	Leonard Fournette	TB	101.9	9	11.3
16	Dameon Pierce	HOU	101.6	8	12.7
17	Breece Hall	NYJ	96.1	7	13.7
18	Khalil Herbert	CHI	94.8	9	10.5
19	Tony Pollard	DAL	92.7	8	11.6
20	Alvin Kamara	NO	90.2	7	12.9
21	Antonio Gibson	WAS	80.7	9	9.0
22	Clyde Edwards-Helaire	KC	80.4	8	10.1
23	Jeff Wilson Jr.	Multi	77.1	9	8.6
24	James Robinson	Multi	75.6	9	8.4
25	Raheem Mostert	MIA	75.5	9	8.4
26	Cordarrelle Patterson	ATL	72.1	5	14.4
27	Ezekiel Elliott	DAL	71.5	7	10.2
28	Michael Carter	NYJ	70.6	9	7.8
29	Kareem Hunt	CLE	66.2	8	8.3
30	David Montgomery	CHI	64.0	8	8.0
31	Tyler Allgeier	ATL	63.8	8	8.0
32	Najee Harris	PIT	63.5	8	7.9
33	Kenyan Drake	BAL	62.9	7	9.0
34	Eno Benjamin	ARI	62.3	9	6.9
35	Devin Singletary	BUF	59.4	8	7.4
36	D'Andre Swift	DET	57.1	5	11.4
37	Jonathan Taylor	IND	55.3	6	9.2
38	AJ Dillon	GB	54.8	9	6.1
39	Damien Harris	NE	52.9	7	7.6
40	D'Onta Foreman	CAR	52.1	8	6.5
41	Rashaad Penny	SEA	48.2	5	9.6
42	Melvin Gordon III	DEN	48.1	8	6.0
43	Darrell Henderson Jr.	LAR	46.4	8	5.8
44	Dontrell Hilliard	TEN	44.1	7	6.3
45	James Conner	ARI	42.7	6	7.1
46	Chase Edmonds	MIA	39.6	8	5.0
47	Latavius Murray	Multi	39.1	5	7.8
48	Alexander Mattison	MIN	37.6	8	4.7
49	Caleb Huntley	ATL	35.9	7	5.1
50	Kenneth Gainwell	PHI	34.7	8	4.3
51	Jerick McKinnon	KC	33.9	8	4.2
52	Samaje Perine	CIN	31.9	9	3.5
53	Deon Jackson	IND	30.4	6	5.1
